SEQDAY,FCOUNT_NLDN,FCOUNT_STRUCTURE,FCOUNT_HAIL,FCOUNT_TVS,FIPS
1986-11-06,0,NULL,NULL,NULL,12057
1986-11-07,0,NULL,NULL,NULL,12057
1986-11-08,0,NULL,NULL,NULL,12057
1986-11-09,0,NULL,NULL,NULL,12057
1986-11-10,1,NULL,NULL,NULL,12057
1986-11-11,0,NULL,NULL,NULL,12057
1986-11-12,0,NULL,NULL,NULL,12057
1986-11-13,0,NULL,NULL,NULL,12057
1986-11-14,0,NULL,NULL,NULL,12057
1986-11-15,0,NULL,NULL,NULL,12057
1986-11-16,0,NULL,NULL,NULL,12057
1986-11-17,0,NULL,NULL,NULL,12057
1986-11-18,13,NULL,NULL,NULL,12057
1986-11-19,0,NULL,NULL,NULL,12057
1986-11-20,3,NULL,NULL,NULL,12057
1986-11-21,1,NULL,NULL,NULL,12057
1986-11-22,0,NULL,NULL,NULL,12057
1986-11-23,0,NULL,NULL,NULL,12057
1986-11-24,0,NULL,NULL,NULL,12057
1986-11-25,0,NULL,NULL,NULL,12057
1986-11-26,0,NULL,NULL,NULL,12057
1986-11-27,0,NULL,NULL,NULL,12057
1986-11-28,0,NULL,NULL,NULL,12057
1986-11-29,0,NULL,NULL,NULL,12057
1986-11-30,3,NULL,NULL,NULL,12057
1986-12-01,1,NULL,NULL,NULL,12057
1986-12-02,0,NULL,NULL,NULL,12057
1986-12-03,0,NULL,NULL,NULL,12057
1986-12-04,0,NULL,NULL,NULL,12057
1986-12-05,0,NULL,NULL,NULL,12057
1986-12-06,0,NULL,NULL,NULL,12057
1986-12-07,0,NULL,NULL,NULL,12057
1986-12-08,0,NULL,NULL,NULL,12057
1986-12-09,0,NULL,NULL,NULL,12057
1986-12-10,0,NULL,NULL,NULL,12057
1986-12-11,0,NULL,NULL,NULL,12057
1986-12-12,13,NULL,NULL,NULL,12057
1986-12-13,0,NULL,NULL,NULL,12057
1986-12-14,0,NULL,NULL,NULL,12057
1986-12-15,0,NULL,NULL,NULL,12057
1986-12-16,0,NULL,NULL,NULL,12057
1986-12-17,0,NULL,NULL,NULL,12057
1986-12-18,0,NULL,NULL,NULL,12057
1986-12-19,0,NULL,NULL,NULL,12057
1986-12-20,0,NULL,NULL,NULL,12057
1986-12-21,0,NULL,NULL,NULL,12057
1986-12-22,0,NULL,NULL,NULL,12057
1986-12-23,0,NULL,NULL,NULL,12057
1986-12-24,0,NULL,NULL,NULL,12057
1986-12-25,0,NULL,NULL,NULL,12057
1986-12-26,0,NULL,NULL,NULL,12057
1986-12-27,0,NULL,NULL,NULL,12057
1986-12-28,0,NULL,NULL,NULL,12057
1986-12-29,0,NULL,NULL,NULL,12057
1986-12-30,0,NULL,NULL,NULL,12057
1986-12-31,0,NULL,NULL,NULL,12057
1987-01-01,0,NULL,NULL,NULL,12057
1987-01-02,0,NULL,NULL,NULL,12057
1987-01-03,0,NULL,NULL,NULL,12057
1987-01-04,6,NULL,NULL,NULL,12057
1987-01-05,7,NULL,NULL,NULL,12057
1987-01-06,0,NULL,NULL,NULL,12057
1987-01-07,0,NULL,NULL,NULL,12057
1987-01-08,0,NULL,NULL,NULL,12057
1987-01-09,0,NULL,NULL,NULL,12057
1987-01-10,0,NULL,NULL,NULL,12057
1987-01-11,0,NULL,NULL,NULL,12057
1987-01-12,0,NULL,NULL,NULL,12057
1987-01-13,0,NULL,NULL,NULL,12057
1987-01-14,0,NULL,NULL,NULL,12057
1987-01-15,0,NULL,NULL,NULL,12057
1987-01-16,0,NULL,NULL,NULL,12057
1987-01-17,0,NULL,NULL,NULL,12057
1987-01-18,0,NULL,NULL,NULL,12057
1987-01-19,0,NULL,NULL,NULL,12057
1987-01-20,0,NULL,NULL,NULL,12057
1987-01-21,0,NULL,NULL,NULL,12057
1987-01-22,2,NULL,NULL,NULL,12057
1987-01-23,0,NULL,NULL,NULL,12057
1987-01-24,0,NULL,NULL,NULL,12057
1987-01-25,0,NULL,NULL,NULL,12057
1987-01-26,0,NULL,NULL,NULL,12057
1987-01-27,0,NULL,NULL,NULL,12057
1987-01-28,0,NULL,NULL,NULL,12057
1987-01-29,0,NULL,NULL,NULL,12057
1987-01-30,0,NULL,NULL,NULL,12057
1987-01-31,0,NULL,NULL,NULL,12057
1987-02-01,0,NULL,NULL,NULL,12057
1987-02-02,0,NULL,NULL,NULL,12057
1987-02-03,0,NULL,NULL,NULL,12057
1987-02-04,0,NULL,NULL,NULL,12057
1987-02-05,0,NULL,NULL,NULL,12057
1987-02-06,0,NULL,NULL,NULL,12057
1987-02-07,3,NULL,NULL,NULL,12057
1987-02-08,0,NULL,NULL,NULL,12057
1987-02-09,0,NULL,NULL,NULL,12057
1987-02-10,0,NULL,NULL,NULL,12057
1987-02-11,0,NULL,NULL,NULL,12057
1987-02-12,0,NULL,NULL,NULL,12057
1987-02-13,0,NULL,NULL,NULL,12057
1987-02-14,0,NULL,NULL,NULL,12057
1987-02-15,0,NULL,NULL,NULL,12057
1987-02-16,6,NULL,NULL,NULL,12057
1987-02-17,0,NULL,NULL,NULL,12057
1987-02-18,1,NULL,NULL,NULL,12057
1987-02-19,0,NULL,NULL,NULL,12057
1987-02-20,0,NULL,NULL,NULL,12057
1987-02-21,0,NULL,NULL,NULL,12057
1987-02-22,0,NULL,NULL,NULL,12057
1987-02-23,4,NULL,NULL,NULL,12057
1987-02-24,0,NULL,NULL,NULL,12057
1987-02-25,0,NULL,NULL,NULL,12057
1987-02-26,0,NULL,NULL,NULL,12057
1987-02-27,0,NULL,NULL,NULL,12057
1987-02-28,0,NULL,NULL,NULL,12057
1987-03-01,25,NULL,NULL,NULL,12057
